log_size,precomp,c,msm_time(ms)
13.0,8.0,23.0,54.773
13.0,9.0,9.0,3.993
13.0,9.0,10.0,7.547
13.0,9.0,11.0,2.98
13.0,9.0,12.0,2.949
13.0,9.0,13.0,2.993
13.0,9.0,14.0,22.175
13.0,9.0,15.0,2.187
13.0,9.0,16.0,2.353
13.0,9.0,17.0,2.929
13.0,9.0,18.0,25.303
13.0,9.0,19.0,5.189
13.0,9.0,20.0,7.245
13.0,9.0,21.0,29.557
13.0,9.0,22.0,24.676
13.0,9.0,23.0,54.742
13.0,10.0,9.0,3.952
13.0,10.0,10.0,8.221
13.0,10.0,11.0,3.031
13.0,10.0,12.0,2.861
13.0,10.0,13.0,2.832
13.0,10.0,14.0,22.431
13.0,10.0,15.0,2.328
13.0,10.0,16.0,2.352
13.0,10.0,17.0,2.836
13.0,10.0,18.0,22.768
